date,open,close,high,low
2026-04-08,3930.251,3994.998,3994.998,3926.249
2026-04-09,3967.63,3966.171,3979.127,3955.246
2026-04-10,3985.464,3986.225,4011.024,3979.814
2026-04-13,3971.199,3988.558,3991.262,3966.198
2026-04-14,4006.727,4026.626,4026.626,3992.407
2026-04-15,4039.471,4027.21,4050.621,4020.904
2026-04-16,4030.138,4055.547,4057.831,4028.909
2026-04-17,4043.381,4051.425,4058.604,4038.429
2026-04-20,4053.375,4082.127,4083.19,4051.685
2026-04-21,4075.845,4085.077,4086.637,4062.133
2026-04-22,4074.813,4106.258,4106.844,4074.68
2026-04-23,4110.788,4093.25,4114.844,4070.46
2026-04-24,4081.033,4079.9,4092.613,4061.145
2026-04-27,4074.811,4086.344,4092.831,4071.08
2026-04-28,4076.143,4078.637,4090.201,4062.872
2026-04-29,4061.822,4107.514,4112.152,4061.822
2026-04-30,4107.297,4112.159,4118.755,4100.966
2026-05-06,4135.451,4160.174,4166.147,4129.911
2026-05-07,4168.447,4180.092,4180.21,4163.137
2026-05-08,4163.854,4179.952,4183.063,4154.246
2026-05-11,4201.347,4225.021,4229.58,4186.082
2026-05-12,4229.283,4214.489,4230.184,4199.344
2026-05-13,4192.315,4242.572,4245.068,4192.315
2026-05-14,4256.157,4177.918,4258.863,4177.918
2026-05-15,4174.175,4135.389,4191.807,4114.086
2026-05-18,4120.14,4131.528,4145.661,4108.604
2026-05-19,4122.961,4169.538,4170.289,4107.994
2026-05-20,4152.698,4162.185,4169.847,4139.974
2026-05-21,4174.377,4077.277,4199.527,4074.217
2026-05-22,4096.172,4112.9,4120.088,4067.747
2026-05-25,4126.338,4152.569,4153.879,4119.8
2026-05-26,4137.32,4145.373,4150.289,4104.459
2026-05-27,4138.805,4093.727,4153.561,4077.616
2026-05-28,4080.304,4098.636,4110.782,4055.828
2026-05-29,4110.521,4068.569,4112.955,4055.886
2026-06-01,4067.158,4057.74,4093.041,4045.69
2026-06-02,4061.463,4075.102,4089.575,4032.583
2026-06-03,4068.341,4083.974,4107.046,4059.907
2026-06-04,4053.67,4057.781,4080.718,4043.433
2026-06-05,4044.829,4027.736,4078.932,4015.063
